data,date
-0.105,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.12,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.11,2016/7/1 0:08
-0.11,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.13,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.13,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.12,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.11,2016/7/1 0:08
-0.11,2016/7/1 0:08
-0.115,2016/7/1 0:08
-0.12,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.13,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.135,2016/7/1 0:08
-0.13,2016/7/1 0:08
-0.13,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.125,2016/7/1 0:08
-0.125,2016/7/1 0:09
-0.125,2016/7/1 0:09
-0.125,2016/7/1 0:09
-0.125,2016/7/1 0:09
-0.13,2016/7/1 0:09
-0.13,2016/7/1 0:09
-0.135,2016/7/1 0:09
-0.14,2016/7/1 0:09
-0.145,2016/7/1 0:09
-0.155,2016/7/1 0:09
-0.16,2016/7/1 0:09
-0.165,2016/7/1 0:09
-0.17,2016/7/1 0:09
-0.165,2016/7/1 0:09
-0.145,2016/7/1 0:09
-0.11,2016/7/1 0:09
-0.055,2016/7/1 0:09
0.025,2016/7/1 0:09
0.125,2016/7/1 0:09
0.245,2016/7/1 0:09
0.375,2016/7/1 0:09
0.51,2016/7/1 0:09
0.63,2016/7/1 0:09
0.73,2016/7/1 0:09
0.8,2016/7/1 0:09
0.83,2016/7/1 0:09
0.82,2016/7/1 0:09
0.765,2016/7/1 0:09
0.675,2016/7/1 0:09
0.56,2016/7/1 0:09
0.425,2016/7/1 0:09
0.29,2016/7/1 0:09
0.16,2016/7/1 0:09
0.05,2016/7/1 0:09
-0.035,2016/7/1 0:09
-0.09,2016/7/1 0:09
-0.12,2016/7/1 0:09
-0.13,2016/7/1 0:09
-0.115,2016/7/1 0:09
-0.095,2016/7/1 0:09
-0.075,2016/7/1 0:09
-0.055,2016/7/1 0:09
-0.045,2016/7/1 0:09
-0.04,2016/7/1 0:09
-0.05,2016/7/1 0:09
-0.065,2016/7/1 0:09
-0.085,2016/7/1 0:09
-0.1,2016/7/1 0:09
-0.11,2016/7/1 0:09
-0.115,2016/7/1 0:09
-0.115,2016/7/1 0:09
-0.105,2016/7/1 0:09
-0.1,2016/7/1 0:09
-0.09,2016/7/1 0:09
-0.09,2016/7/1 0:09
-0.09,2016/7/1 0:09
-0.095,2016/7/1 0:09
-0.1,2016/7/1 0:09
-0.105,2016/7/1 0:09
-0.105,2016/7/1 0:09
-0.105,2016/7/1 0:10
-0.105,2016/7/1 0:10
-0.1,2016/7/1 0:10
-0.1,2016/7/1 0:10
-0.095,2016/7/1 0:10
-0.1,2016/7/1 0:10
